Date,Open,High,Low,Close,Adj Close,Volume
2019-10-31,162.860001,162.899994,162.000000,162.190002,162.190002,39068
2019-11-01,161.970001,162.789993,161.500000,162.100006,162.100006,55003
2019-11-04,162.149994,163.649994,161.839996,163.600006,163.600006,50263
2019-11-05,163.600006,166.000000,163.500000,165.649994,165.649994,38731
2019-11-06,166.000000,168.850006,166.000000,166.839996,166.839996,45071
2019-11-07,168.600006,169.550003,168.020004,169.000000,169.000000,47452
2019-11-08,169.490005,170.000000,166.000000,168.330002,168.330002,59090
2019-11-11,168.330002,169.869995,168.050003,169.869995,169.869995,37365
2019-11-12,169.860001,169.869995,169.020004,169.020004,169.020004,44997
2019-11-13,169.399994,169.779999,169.050003,169.149994,169.149994,32260
2019-11-14,169.500000,172.300003,169.149994,172.199997,172.199997,31428
2019-11-18,172.210007,175.389999,172.199997,175.389999,175.389999,33982
2019-11-19,175.389999,180.699997,175.169998,177.009995,177.009995,50095
2019-11-21,177.149994,179.479996,177.149994,177.500000,177.500000,44325
2019-11-22,177.500000,179.000000,177.500000,177.500000,177.500000,34338
2019-11-25,177.490005,181.509995,177.250000,177.500000,177.500000,45673
2019-11-26,177.539993,180.990005,177.539993,178.000000,178.000000,35286
2019-11-27,178.690002,180.020004,177.300003,178.000000,178.000000,37982
2019-11-28,178.000000,180.000000,178.000000,179.800003,179.800003,22754
2019-11-29,180.000000,181.990005,180.000000,181.550003,181.550003,28273
2019-12-02,181.000000,181.550003,179.259995,180.000000,180.000000,31508
2019-12-03,180.500000,180.600006,179.000000,180.460007,180.460007,32397
2019-12-04,180.460007,186.990005,180.460007,184.839996,184.839996,32068
2019-12-05,184.990005,185.949997,184.199997,184.800003,184.800003,30229
2019-12-06,185.000000,189.000000,183.309998,185.729996,185.729996,46860
2019-12-09,186.380005,187.000000,186.009995,186.869995,186.869995,37342
2019-12-10,187.000000,189.500000,187.000000,187.979996,187.979996,35883
2019-12-11,188.000000,190.000000,187.800003,189.699997,189.699997,32257
2019-12-12,189.800003,196.000000,189.779999,196.000000,196.000000,30528
2019-12-13,196.699997,199.889999,191.000000,193.009995,193.009995,59683
2019-12-16,193.050003,196.000000,193.009995,194.759995,194.759995,44355
2019-12-17,194.759995,195.000000,193.949997,195.000000,195.000000,32400
2019-12-18,194.990005,195.000000,193.169998,193.169998,193.169998,42379
2019-12-19,193.169998,194.000000,192.000000,192.500000,192.500000,34622
2019-12-20,192.509995,197.000000,192.509995,196.699997,196.699997,30080
2019-12-23,196.949997,196.949997,195.000000,195.750000,195.750000,48946
2019-12-26,195.750000,199.009995,195.600006,199.000000,199.000000,31057
2019-12-27,199.300003,204.970001,199.000000,202.399994,202.399994,34258
2019-12-30,202.500000,209.949997,202.500000,206.149994,206.149994,29634
2020-01-02,206.009995,213.000000,206.000000,212.000000,212.000000,40225
2020-01-03,212.770004,221.979996,212.770004,221.139999,221.139999,55879
2020-01-06,220.949997,221.130005,212.360001,214.600006,214.600006,61957
2020-01-07,214.600006,219.000000,208.000000,209.000000,209.000000,53567
