"Recorded Crime Offences under Reservation  (Number) by Quarter, Garda"
"Division and Type of Offence"

" "," ","01 ,Homicide offences","0111 ,Murder","0112 ,Manslaughter","0113 ,Infanticide","012 ,Dangerous driving leading to death","02 ,Sexual offences","021 ,Rape and sexual assault","022 ,Other sexual offences","03 ,Attempts/threats to murder, assaults, harassments and related offences","0311 ,Murder-attempt","0312 ,Murder-threat","033 ,Harassment and related offences","034 ,Assault causing harm, poisoning","035 ,Other assault","04 ,Dangerous or negligent acts","0411 ,Dangerous driving causing serious bodily harm","0412 ,Driving/in charge of a vehicle while over legal alcohol limit","0413 ,Driving/in charge of a vehicle under the influence of drugs","0421 ,Endangerment with potential for serious harm/death","0422 ,Abandoning a child, child neglect and cruelty","0423 ,Unseaworthy/dangerous use of boat or ship","0424 ,False alarm/interference with aircraft or air transport facilities","0425 ,Endangering traffic offences","05 ,Kidnapping and related offences","0511 ,False imprisonment","0512 ,Abduction of person under 16 years of age","0513 ,Human trafficking offences","06 ,Robbery, extortion and hijacking offences","0611 ,Robbery of an establishment or institution","0612 ,Robbery of cash or goods in transit","0613 ,Robbery from the person","0621 ,Blackmail or extortion","0631 ,Carjacking, hijacking/unlawful seizure of aircraft/vessel","07 ,Burglary and related offences","0711 ,Aggravated burglary","0712 ,Burglary (not aggravated)","0713 ,Possession of an article (with intent to burgle, steal, demand)","08 ,Theft and related offences","081 ,Theft/taking of vehicle and related offences","0821 ,Theft from person","0822 ,Theft from shop","084 ,Other thefts, handling stolen property","09 ,Fraud, deception and related offences","10 ,Controlled drug offences","1011 ,Importation of drugs","1012 ,Cultivation or manufacture of drugs","1021 ,Possession of drugs for sale or supply","1022 ,Possession of drugs for personal use","103 ,Other drug offences","11 ,Weapons and Explosives Offences","111 ,Explosives, chemical weapons offences","1121 ,Discharging a firearm","1122 ,Possession of a firearm","113 ,Offensive weapons offences (n.e.c.)","114 ,Fireworks offences","12 ,Damage to property and to the environment","1211 ,Arson","1212 ,Criminal damage (not arson)","1221 ,Litter offences","13 ,Public order and other social code offences","131 ,Disorderly conduct","132 ,Trespass offences","133 ,Liquor licensing offences","134 ,Prostitution offences","135 ,Regulated betting/money, collection/trading offences","136 ,Social code offences (n.e.c.)","15 ,Offences against government, justice procedures and organisation of crime","151 ,Offences against government and its agents","152 ,Organisation of crime and conspiracy to commit crime","153 ,Perverting the course of justice","157 ,Offences while in custody, breach of court orders"
" ","61 ,D.M.R. South Central Garda Division",2,1,1,0,0,13,13,0,198,0,0,10,84,104,121,0,118,0,0,0,0,0,3,0,0,0,0,155,51,3,98,0,3,574,23,540,11,2267,243,446,299,1279,101,95,0,0,56,27,12,55,0,4,4,47,0,571,9,561,1,762,607,56,5,17,12,65,95,1,0,5,89
" ","62 ,D.M.R. North Central Garda Division",4,2,1,0,1,38,24,14,175,0,0,11,64,100,90,0,84,0,3,1,0,0,2,3,2,1,0,105,23,0,80,1,1,290,6,268,16,2068,244,287,655,882,55,71,0,0,50,11,10,49,0,2,4,43,0,552,10,541,1,819,698,34,7,22,12,46,454,1,2,3,448
" ","63 ,D.M.R. Northern Garda Division",0,0,0,0,0,34,30,4,166,0,0,10,59,97,171,1,158,1,3,3,0,3,2,4,2,2,0,83,36,3,41,1,2,597,7,578,12,1385,438,84,197,666,81,136,4,0,50,76,6,25,0,3,7,15,0,734,22,711,1,417,366,31,10,0,0,10,79,8,1,1,69
" ","64 ,D.M.R. Southern Garda Division",0,0,0,0,0,38,36,2,229,1,1,24,81,122,144,0,140,1,0,1,0,0,2,2,2,0,0,101,44,1,49,0,7,523,13,501,9,1215,342,91,313,469,41,156,0,0,39,116,1,40,0,3,10,27,0,727,38,689,0,488,439,34,4,0,0,11,199,3,0,6,190
" ","65 ,D.M.R. Eastern Garda Division",0,0,0,0,0,15,15,0,90,0,0,5,32,53,66,0,63,1,1,1,0,0,0,1,0,1,0,51,23,0,27,1,0,530,2,527,1,746,138,44,154,410,21,78,0,0,18,58,2,9,0,0,1,8,0,341,11,328,2,348,321,21,0,0,1,5,42,1,0,0,41
" ","66 ,D.M.R. Western Garda Division",1,1,0,0,0,37,37,0,214,1,0,4,88,121,150,1,136,6,0,0,0,0,7,6,6,0,0,91,39,3,44,1,4,460,13,444,3,1498,497,77,254,670,88,94,0,0,58,35,1,62,1,13,19,29,0,813,25,788,0,466,421,35,2,0,0,8,139,3,0,2,134
"2003Q2"
" ","11 ,Cavan/Monaghan Garda Division",0,0,0,0,0,15,15,0,132,0,0,5,32,95,161,1,148,0,0,11,0,0,1,0,0,0,0,4,1,0,2,0,1,119,2,116,1,294,32,15,56,191,20,24,0,0,7,17,0,10,0,5,2,3,0,170,3,167,0,319,279,8,30,0,1,1,37,7,0,1,29
" ","12 ,Donegal Garda Division",0,0,0,0,0,20,20,0,176,0,0,18,54,104,123,0,117,3,0,2,0,0,1,0,0,0,0,4,3,0,0,1,0,148,3,145,0,339,63,13,25,238,51,86,1,2,11,63,9,8,0,1,4,3,0,305,9,296,0,475,345,4,124,0,2,0,26,3,0,2,21
" ","13 ,Sligo/Leitrim Garda Division",0,0,0,0,0,3,3,0,58,0,0,2,14,42,53,0,51,1,0,1,0,0,0,0,0,0,0,5,1,0,4,0,0,117,1,116,0,287,30,10,46,201,10,30,0,0,8,22,0,2,0,0,0,2,0,309,22,287,0,135,115,8,9,0,0,3,12,1,0,0,11
" ","14 ,Louth  Garda Division",0,0,0,0,0,10,9,1,130,0,1,9,26,94,119,0,116,0,1,2,0,0,0,1,1,0,0,15,3,0,12,0,0,185,5,180,0,496,111,34,90,261,30,49,0,0,6,43,0,18,3,2,1,12,0,298,23,271,4,259,236,12,8,1,0,2,56,1,0,5,50
" ","21 ,Clare Garda Division",3,1,0,0,2,14,12,2,83,0,0,6,20,57,55,1,52,0,0,1,0,1,0,0,0,0,0,2,0,0,2,0,0,77,2,75,0,272,28,21,34,189,10,42,0,0,10,31,1,5,0,1,1,3,0,172,11,160,1,177,153,12,12,0,0,0,24,2,0,0,22
" ","22 ,Mayo Garda Division",0,0,0,0,0,5,5,0,96,0,0,7,29,60,127,0,124,0,1,0,0,0,2,0,0,0,0,1,0,0,1,0,0,114,0,114,0,282,21,11,37,213,17,28,0,0,4,21,3,8,0,0,1,7,0,193,6,186,1,353,230,2,120,0,0,1,27,3,0,2,22
" ","23 ,Galway Garda Division",0,0,0,0,0,14,14,0,162,0,0,11,51,100,125,0,121,1,0,3,0,0,0,0,0,0,0,14,1,0,13,0,0,244,0,244,0,637,119,34,181,303,32,89,1,4,6,74,4,7,0,0,2,5,0,338,6,332,0,480,386,9,67,0,18,0,46,1,0,2,43
" ","24 ,Roscommon/Longford  Garda Division",0,0,0,0,0,8,8,0,60,0,0,2,16,42,55,0,52,0,0,2,0,0,1,1,1,0,0,1,0,0,1,0,0,121,2,119,0,193,15,8,45,125,7,28,0,0,8,19,1,4,0,0,1,3,0,139,4,135,0,176,109,0,64,0,1,2,17,1,0,1,15
" ","31 ,Cork City Garda Division",1,0,0,0,1,25,24,1,234,0,1,10,57,166,153,0,150,0,1,2,0,0,0,2,1,1,0,45,9,2,34,0,0,215,3,212,0,1099,145,91,380,483,28,165,0,0,34,128,3,26,0,1,3,22,0,673,49,620,4,901,824,17,41,1,9,9,112,4,0,1,107
" ","32 ,Cork North Garda Division",0,0,0,0,0,14,14,0,107,0,0,13,28,66,100,0,96,1,1,2,0,0,0,1,1,0,0,4,1,0,3,0,0,105,0,105,0,247,17,7,46,177,18,67,0,1,13,51,2,4,0,0,1,3,0,191,5,184,2,232,201,2,29,0,0,0,28,3,0,3,22
